event_type,event_timestamp,example_number,prompt_tokens,completion_tokens,total_tokens,llm_name,tool_name,function_name,function_id,parent_function_name,parent_function_id,UUID,framework,NOVA-Event-ID,NOVA-Requests-Remaining-In-Event,NOVA-Time-To-Next-Event,NOVA-Time-To-Event-End,NOVA-Predicted-OSL,NOVA-Time-To-Session-End
LLM_END,1783252540.8060315,0,343,272,615,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,1c53b9f3-3823-40fd-beb1-58a294c8ea62,,<workflow>,18.0,0.3705024719238281,268390.7814025879,,274551.6200065613
LLM_START,1783252540.806402,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,91c0c948-e79a-42c0-818a-b1700dfc21bb,,<workflow>,17.0,4097.753524780273,268390.41090011597,223.0,274551.24950408936
LLM_END,1783252544.902967,0,330,223,553,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,91c0c948-e79a-42c0-818a-b1700dfc21bb,,<workflow>,17.0,1.188516616821289,264293.8458919525,,270454.6844959259
LLM_START,1783252544.9041555,0,0,0,0,nvidia/llama-3.3-nemotron-super-49b-v1.5,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,eefc150c-5508-4648-8cb8-a8befbf864cb,,<workflow>,16.0,77309.6833229065,264292.6573753357,2107.0,270453.4959793091
LLM_END,1783252622.2130907,0,1199,2107,3306,nvidia/llama-3.3-nemotron-super-49b-v1.5,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,eefc150c-5508-4648-8cb8-a8befbf864cb,,<workflow>,16.0,0.7481575012207031,186983.72220993042,,193144.5608139038
LLM_START,1783252622.2138388,0,0,0,0,nvidia/llama-3.3-nemotron-super-49b-v1.5,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,10ac1240-8355-4dad-9ba8-24ea30037143,,<workflow>,15.0,58301.189661026,186982.9740524292,1877.0,193143.8126564026
LLM_END,1783252680.5144486,0,2485,1877,4362,nvidia/llama-3.3-nemotron-super-49b-v1.5,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,10ac1240-8355-4dad-9ba8-24ea30037143,,<workflow>,15.0,0.579833984375,128682.36422538757,,134843.20282936096
LLM_START,1783252680.5150285,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,ec8544b6-a478-46b3-a7b3-a0c4b3c9e137,,<workflow>,14.0,7338.613510131836,128681.7843914032,430.0,134842.6229953766
LLM_END,1783252687.853125,0,428,430,858,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,ec8544b6-a478-46b3-a7b3-a0c4b3c9e137,,<workflow>,14.0,0.5168914794921875,121343.68777275085,,127504.52637672424
LLM_START,1783252687.853642,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,160b38a4-8ae8-4100-b3ad-14b5dd134dac,,<workflow>,13.0,18328.510284423828,121343.17088127136,1107.0,127504.00948524475
LLM_END,1783252706.1817615,0,781,1107,1888,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,160b38a4-8ae8-4100-b3ad-14b5dd134dac,,<workflow>,13.0,0.39076805114746094,103015.05136489868,,109175.88996887207
LLM_START,1783252706.1821523,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,8381d148-5241-4bd2-89fd-fa30240774bf,,<workflow>,12.0,7577.603101730347,103014.66059684753,318.0,109175.49920082092
LLM_END,1783252713.759368,0,434,318,752,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,8381d148-5241-4bd2-89fd-fa30240774bf,,<workflow>,12.0,0.38743019104003906,95437.44492530823,,101598.28352928162
LLM_START,1783252713.7597554,0,0,0,0,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,11a2c5a7-4e19-40c4-8bc8-6977e32c0b08,,<workflow>,11.0,4200.289487838745,95437.05749511719,176.0,101597.89609909058
LLM_END,1783252717.959614,0,509,176,685,nvidia/nvidia-nemotron-nano-9b-v2,,<workflow>,a320ac14-0f34-4f4e-b83e-1c9a9bc1f095,root,root,11a2c5a7-4e19-40c4-8bc8-6977e32c0b08,,<workflow>,11.0,0.43082237243652344,91237.19882965088,,97398.03743362427
